"","x"
"1315",183
"1316",144
"1317",45
"1318",30
"1319",208
"1320",285
"1321",40
"1322",18
"1323",65
"1324",316
"1325",132
"1326",16
"1327",16
"1328",13
"1329",59
"1330",152
"1331",250
"1332",16
"1333",268
"1334",30
"1335",99
"1336",63
"1337",15
"1338",61
"1339",33
"1340",17
"1341",18
"1342",191
"1343",115
"1344",9
"1345",52
"1346",35
"1347",48
"1348",15
"1349",119
"1350",18
"1351",40
"1352",9
"1353",46
"1354",126
"1355",84
"1356",8
"1357",36
"1358",58
"1359",27
"1360",29
"1361",527
"1362",36
"1363",131
"1364",55
"1365",58
"1366",113
"1367",175
"1368",177
"1369",69
"1370",559
"1371",48
"1372",6
"1373",92
"1374",93
"1375",325
"1376",32
"1377",55
"1378",14
"1379",16
"1380",59
"1381",165
"1382",98
"1383",170
"1384",57
"1385",33
"1386",4
"1387",90
"1388",42
"1389",51
"1390",44
"1391",6
"1392",65
"1393",81
"1394",9
"1395",94
"1396",5
"1397",44
"1398",249
"1399",51
"1400",223
"1401",48
"1402",43
"1403",27
"1404",31
"1405",315
"1406",84
"1407",44
"1408",17
"1409",15
"1410",199
"1411",49
"1412",19
"1413",12
"1414",84
"1415",158
"1416",171
"1417",66
"1418",5
"1419",32
"1420",50
"1421",103
"1422",4
"1423",52
"1424",33
"1425",20
"1426",133
"1427",20
"1428",85
"1429",5
"1430",155
"1431",4
"1432",117
"1433",5
"1434",15
"1435",93
"1436",22
"1437",7
"1438",105
"1439",13
"1440",8
"1441",216
"1442",63
"1443",87
"1444",91
"1445",70
"1446",13
"1447",5
"1448",27
"1449",12
"1450",41
"1451",40
"1452",54
"1453",684
"1454",22
"1455",55
"1456",230
"1457",38
"1458",346
"1459",5
"1460",172
"1461",175
"1462",168
"1463",5
"1464",2
"1465",4
"1466",19
"1467",157
"1468",72
"1469",101
"1470",96
"1471",63
"1472",144
"1473",48
"1474",6
"1475",56
"1476",40
"1477",46
"1478",4
"1479",173
"1480",28
"1481",115
"1482",46
"1483",41
"1484",4
"1485",22
"1486",10
"1487",8
"1488",9
"1489",8
"1490",4
"1491",65
"1492",134
"1493",5
"1494",67
"1495",27
"1496",18
"1497",61
"1498",25
"1499",514
"1500",376
"1501",29
"1502",59
"1503",556
"1504",155
"1505",16
"1506",110
"1507",197
"1508",7
"1509",51
"1510",4
"1511",44
"1512",179
"1513",11
"1514",40
"1515",6
"1516",52
"1517",6
"1518",286
"1519",219
"1520",88
"1521",133
"1522",26
"1523",36
"1524",47
"1525",29
"1526",6
"1527",19
"1528",15
"1529",15
"1530",15
"1531",82
"1532",135
"1533",97
