"time","type","clientNum","chamada","busyServers","queue"
2016-02-10 19:00:38,"depart",123,"A179",9,1
2016-02-10 19:01:43,"depart",97,"A158",9,0
2016-02-10 19:03:51,"depart",128,"A184",8,0
2016-02-10 19:05:35,"depart",127,"A183",7,0
2016-02-10 19:06:17,"depart",124,"A180",6,0
2016-02-10 19:10:00,"depart",115,"A174",5,0
2016-02-10 19:12:31,"depart",105,"A165",4,0
2016-02-10 19:12:42,"depart",113,"A172",3,0
2016-02-10 19:15:05,"depart",125,"A181",2,0
2016-02-10 19:19:07,"depart",126,"A182",1,0
2016-02-10 19:30:39,"depart",122,"E019",0,0
2016-02-11 17:01:55,"arrive",129,"A081",1,0
2016-02-11 17:03:45,"arrive",130,"A082",2,0
2016-02-11 17:09:24,"depart",129,"A081",1,0
2016-02-11 17:09:54,"arrive",131,"E009",2,0
2016-02-11 17:10:11,"arrive",132,"A083",3,0
2016-02-11 17:13:14,"depart",130,"A082",2,0
2016-02-11 17:14:29,"arrive",133,"A084",3,0
2016-02-11 17:17:00,"depart",131,"E009",2,0
2016-02-11 17:17:07,"arrive",134,"A085",3,0
2016-02-11 17:19:34,"depart",133,"A084",2,0
2016-02-11 17:19:40,"arrive",135,"A086",3,0
2016-02-11 17:22:15,"arrive",136,"A087",4,0
2016-02-11 17:24:01,"arrive",137,"A088",5,0
2016-02-11 17:27:20,"depart",134,"A085",4,0
2016-02-11 17:30:35,"arrive",138,"A089",5,0
2016-02-11 17:32:48,"depart",132,"A083",4,0
2016-02-11 17:33:26,"arrive",139,"A090",5,0
2016-02-11 17:34:43,"depart",135,"A086",4,0
2016-02-11 17:37:19,"depart",136,"A087",3,0
2016-02-11 17:39:38,"arrive",140,"A091",4,0
2016-02-11 17:45:34,"depart",137,"A088",3,0
2016-02-11 17:47:28,"depart",138,"A089",2,0
2016-02-11 17:48:13,"depart",139,"A090",1,0
2016-02-11 17:48:28,"arrive",141,"A092",2,0
2016-02-11 17:48:33,"arrive",142,"A093",3,0
2016-02-11 17:49:59,"arrive",143,"A094",4,0
2016-02-11 17:53:16,"depart",141,"A092",3,0
2016-02-11 17:53:17,"arrive",144,"A095",4,0
2016-02-11 17:53:39,"arrive",145,"A096",5,0
2016-02-11 17:56:46,"depart",140,"A091",4,0
2016-02-11 18:00:04,"depart",142,"A093",3,0
2016-02-11 18:00:54,"arrive",146,"A097",4,0
2016-02-11 18:01:35,"arrive",147,"E010",5,0
2016-02-11 18:02:30,"depart",146,"A097",4,0
2016-02-11 18:03:19,"depart",145,"A096",3,0
2016-02-11 18:04:22,"depart",143,"A094",2,0
2016-02-11 18:04:23,"arrive",148,"A098",3,0
2016-02-11 18:06:06,"arrive",149,"A099",4,0
2016-02-11 18:06:23,"arrive",150,"A100",5,0
2016-02-11 18:07:13,"depart",149,"A099",4,0
2016-02-11 18:08:18,"depart",147,"E010",3,0
2016-02-11 18:09:11,"arrive",151,"A101",4,0
2016-02-11 18:09:14,"arrive",152,"E011",5,0
2016-02-11 18:09:24,"depart",151,"A101",4,0
2016-02-11 18:10:33,"arrive",153,"A102",5,0
2016-02-11 18:10:35,"depart",144,"A095",4,0
2016-02-11 18:16:04,"depart",152,"E011",3,0
2016-02-11 18:16:14,"arrive",154,"A103",4,0
2016-02-11 18:17:42,"depart",154,"A103",3,0
2016-02-11 18:17:50,"arrive",155,"A104",4,0
2016-02-11 18:18:47,"arrive",156,"A105",5,0
2016-02-11 18:18:52,"depart",148,"A098",4,0
2016-02-11 18:20:03,"depart",150,"A100",3,0
2016-02-11 18:20:41,"arrive",157,"A106",4,0
2016-02-11 18:27:56,"arrive",158,"A107",5,0
2016-02-11 18:28:22,"depart",156,"A105",4,0
2016-02-11 18:28:22,"arrive",159,"A108",5,0
2016-02-11 18:28:31,"arrive",160,"A109",6,0
2016-02-11 18:29:23,"arrive",161,"A110",7,0
2016-02-11 18:29:34,"arrive",162,"A111",8,0
2016-02-11 18:29:36,"depart",158,"A107",7,0
2016-02-11 18:30:27,"arrive",163,"A112",8,0
2016-02-11 18:30:41,"depart",161,"A110",7,0
2016-02-11 18:31:15,"depart",162,"A111",6,0
2016-02-11 18:33:49,"depart",159,"A108",5,0
2016-02-11 18:34:32,"arrive",164,"A113",6,0
2016-02-11 18:35:32,"depart",155,"A104",5,0
2016-02-11 18:36:22,"arrive",165,"A114",6,0
2016-02-11 18:36:39,"depart",153,"A102",5,0
2016-02-11 18:39:12,"depart",160,"A109",4,0
2016-02-11 18:40:03,"depart",164,"A113",3,0
2016-02-11 18:40:08,"arrive",166,"A115",4,0
2016-02-11 18:41:01,"arrive",167,"A116",5,0
2016-02-11 18:41:06,"arrive",168,"A117",6,0
2016-02-11 18:41:44,"depart",163,"A112",5,0
2016-02-11 18:43:41,"arrive",169,"A118",6,0
2016-02-11 18:45:17,"arrive",170,"EP003",7,0
2016-02-11 18:45:23,"arrive",171,"E012",8,0
2016-02-11 18:45:30,"depart",170,"EP003",7,0
2016-02-11 18:46:46,"arrive",172,"A119",8,0
2016-02-11 18:49:34,"depart",169,"A118",7,0
2016-02-11 18:50:06,"arrive",173,"A120",8,0
2016-02-11 18:51:04,"depart",168,"A117",7,0
2016-02-11 18:52:30,"arrive",174,"A121",8,0
2016-02-11 18:53:23,"depart",165,"A114",7,0
2016-02-11 18:53:37,"arrive",175,"E013",8,0
2016-02-11 18:54:03,"arrive",176,"A122",9,0
2016-02-11 18:54:51,"depart",171,"E012",8,0
2016-02-11 19:01:05,"depart",172,"A119",7,0
2016-02-11 19:01:36,"depart",175,"E013",6,0
2016-02-11 19:01:45,"depart",157,"A106",5,0
